,url,start,end,subtitle
15757,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:11:24,853","00:11:31,223",(박수) 감사합니다
15774,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:12:39,077","00:12:44,947",(박수)
15796,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:14:07,754","00:14:11,794",(박수)
15802,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:07,857","00:00:21,941",(박수와 환호)
15915,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:06:30,708","00:06:35,578",(박수)
15981,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:07,161","00:10:11,205",말이라는 게 잘하면 박수받고 좋은데  못하면 얼마나 사람들 상처주고
16033,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:12:51,462","00:12:55,309",(박수와 환호)
16034,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:12:56,782","00:12:59,391",저는 이 박수도 되게  감사하면서도 부끄럽거든요
16077,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:15:24,145","00:15:31,463",(박수와 환호)
16093,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:16:26,450","00:16:31,990",(박수와 환호)
16095,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:16:36,862","00:16:39,932",(박수)
16096,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:16:39,932","00:16:43,207",저 닮으면 어떡하려고 박수 치세요?
16112,https://www.youtube.com/watch?v=IAXDfkrEalE&index=62&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:17:35,819","00:17:41,189",그 손가락 끝의 굳은살을 감수하고 계시는  모든 분들에게 박수를 드리면서
16294,https://www.youtube.com/watch?v=rnkf8Uz374g&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=107,"00:00:05,219","00:00:14,609",(박수)
16776,https://www.youtube.com/watch?v=LyG4q4dWfjw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=109,"00:00:04,663","00:00:19,639",(환호와 박수)
17181,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:06:08,027","00:06:10,987",(박수)
17196,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:07:16,467","00:07:23,027",(박수)
17255,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:11:21,130","00:11:23,480",(박수)
17266,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:12:08,681","00:12:13,221",(박수)
17306,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:14:59,063","00:15:07,503",(좌석에서 시음권을 발견한  관객들의 박수와 환호)
17309,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:15:16,684","00:15:22,534",(박수와 환호)
17547,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:00:04,220","00:00:11,192",(박수)
17565,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:04:32,795","00:04:52,457",(박수)
17571,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:05:03,891","00:05:08,187",(박수)
17673,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:11:00,182","00:11:04,235",(박수)
17693,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:12:21,353","00:12:25,283",(박수)
18128,https://www.youtube.com/watch?v=4FqDHKDsoDE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=114,"00:07:04,427","00:07:13,595",그리고 나서 눈을 떳는데 모든사람이 일어나서 기립박수를 치는 거예요.
18218,https://www.youtube.com/watch?v=r99ob-WyD20&index=72&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:34,501","00:00:37,181",(박수)
18613,https://www.youtube.com/watch?v=NQxBoQFmQdY&index=73&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:09:26,981","00:09:31,561",(박수)
18642,https://www.youtube.com/watch?v=NQxBoQFmQdY&index=73&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:07,604","00:11:12,435",(박수)
18983,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:00:09,273","00:00:14,487",(박수)
18986,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:00:21,733","00:00:24,533",(박수)
